x0000,y0000,x0001,y0001
11.88,4.317486657,11.88,0.02386998582,
11.92,4.321488276,11.92,0.01986859149,
11.96,4.317486657,11.96,0.01986859149,
12,4.317486657,12,0.01986859149,
12.04,4.317486657,12.04,0.01986859149,
12.08,4.317486657,12.08,0.01986859149,
12.12,4.321488276,12.12,0.01986859149,
12.16,4.317486657,12.16,0.01986859149,
12.2,4.321488276,12.2,0.01986859149,
12.24,4.321488276,12.24,0.01986859149,
12.28,4.317486657,12.28,0.01986859149,
12.32,4.321488276,12.32,0.01986859149,
12.36,4.321488276,12.36,0.01986859149,
12.4,4.317486657,12.4,0.01986859149,
12.44,4.321488276,12.44,0.01986859149,
12.48,4.321488276,12.48,0.01986859149,
12.52,4.321488276,12.52,0.01986859149,
12.56,4.325489895,12.56,0.01986859149,
12.6,4.317486657,12.6,0.01986859149,
12.64,4.321488276,12.64,0.01986859149,
12.68,4.321488276,12.68,0.01986859149,
12.72,4.317486657,12.72,0.01986859149,
12.76,4.321488276,12.76,0.01986859149,
12.8,4.317486657,12.8,0.01986859149,
12.84,4.317486657,12.84,0.01986859149,
12.88,4.317486657,12.88,0.01986859149,
12.92,4.317486657,12.92,0.01986859149,
12.96,4.321488276,12.96,0.01986859149,
13,4.317486657,13,0.01986859149,
13.04,4.317486657,13.04,0.01986859149,
13.08,4.321488276,13.08,0.01986859149,
13.12,4.317486657,13.12,0.01986859149,
13.16,4.317486657,13.16,0.01986859149,
13.2,4.321488276,13.2,0.01986859149,
13.24,4.317486657,13.24,0.01986859149,
13.28,4.321488276,13.28,0.01986859149,
13.32,4.317486657,13.32,0.01986859149,
13.36,4.321488276,13.36,0.01986859149,
13.4,4.321488276,13.4,0.01986859149,
13.44,4.317486657,13.44,0.01986859149,
13.48,4.321488276,13.48,0.01986859149,
13.52,4.317486657,13.52,0.01986859149,
13.56,4.317486657,13.56,0.01986859149,
13.6,4.317486657,13.6,0.01986859149,
13.64,4.317486657,13.64,0.01586719737,
13.68,4.317486657,13.68,0.01986859149,
13.72,4.321488276,13.72,0.01986859149,
13.76,4.317486657,13.76,0.01986859149,
13.8,4.321488276,13.8,0.01986859149,
13.84,4.321488276,13.84,0.01986859149,
